Class,Symptoms,Disease Cycle,Predicting Infection,Preventative Measures,Treatment
Potato Early Blight,"Alternaria solani infects stems, leaves and fruits of tomato (Solanum lycopersicum L.), potato (S. tuberosum), eggplant (S. melongena L.), bell pepper and hot pepper (Capsicum spp.), and other members of the family Solanaceae.[5] Distinguishing symptoms of A. solani include leaf spot and defoliation, which are most pronounced in the lower canopy. In some cases, A. solani may also cause damping off.[6][7]

On tomatoes
On tomato, foliar symptoms of A. solani generally occur on the oldest leaves and start as small lesions that are brown to black in color. These leaf spots resemble concentric rings - a distinguishing characteristic of the pathogen - and measure up to 1.3 cm (0.51 inches) in diameter.[8] Both the area around the leaf spot and the entire leaf may become yellow or chlorotic. Under favorable conditions (e.g., warm weather with short or abundant dews), significant defoliation of lower leaves may occur, leading to sunscald of the fruit.[8] As the disease progresses, symptoms may migrate to the plant stem and fruit. Stem lesions are dark, slightly sunken and concentric in shape. Basal girdling and death of seedlings may occur, a symptom known as collar rot.[8] In fruit, A. solani invades at the point of attachment to the stem as well as through growth cracks and wounds made by insects, infecting large areas of the fruit[8] Fruit spots are similar in appearance to those on leaves – brown with dark concentric circles. Mature lesions are typically covered by a black, velvety mass of fungal spores that may be visible under proper light conditions.[5][8]

In potato, primary damage by A. solani is attributed to premature defoliation of potato plants, which results in tuber yield reduction. Initial infection occurs on older leaves, with concentric dark brown spots developing mainly in the leaf center. The disease progresses during the period of potato vegetation, and infected leaves turn yellow and either dry out or fall off the stem. On stems, spots are gaunt with no clear contours (as compared to leaf spots). Tuber lesions are dry, dark and pressed into the tuber surface, with the underlying flesh turning dry, leathery and brown. During storage, tuber lesions may enlarge and tubers may become shriveled.[9] Disease severity due to A. solani is highest when potato plants are injured, under stress or lack proper nutrition. High levels of nitrogen, moderate potassium and low phosphorus in the soil can reduce susceptibility of infection by the pathogen.[2]","Alternaria solani is a deuteromycete[10] with a polycyclic life cycle. Alternaria solani reproduces asexually by means of conidia. A.solani is generally considered to be a necrotrophic pathogen, i.e. it kills the host tissue using cell wall degrading enzymes and toxins and feeds on the dead plant cell material [11]

The life cycle starts with the fungus overwintering in crop residues or wild members of the family Solanaceae, such as black nightshade.[12] In the spring, conidia are produced. Multicellular conidia are splashed by water or by wind onto an uninfected plant. The conidia infect the plant by entering through small wounds, stomata, or direct penetration. Infections usually start on older leaves close to the ground. The fungus takes time to grow and eventually forms a lesion. From this lesion, more conidia are created and released. These conidia infect other plants or other parts of the same plant within the same growing season. Every part of the plant can be infected and form lesions. This is especially important when fruit or tubers are infected as they can be used to spread the disease.[13]

In general, development of the pathogen can be aggravated by an increase in inoculum from alternative hosts such as weeds or other solanaceous species.[2] Disease severity and prevalence are highest when plants are mature.[8]

",,"Clear infected debris from field to reduce inoculum for the next year.
Water plants in the morning so plants are wet for the shortest amount of time.
Use a drip irrigation system to minimize leaf wetness which provides optimal conditions for fungal growth.
Use mulch so spores in soil cannot splash onto leaves from the soil.
Rotate to a non-Solanaceous crop for at least three years. The more potato-free years, the less infection.
If possible control wild population of Solanaceae. This will decrease the amount of inoculum to infect your plants.
Closely monitor field, especially in warm damp weather when it grows fastest, to reduce loss of crop and spray fungicide in time.
Plant resistant cultivars.
Increase air circulation in rows. Damp conditions allow for optimal growth of A. Solani and the disease spreads more rapidly. This can be achieved by planting farther apart or by trimming leaves.[13]
[15] Chemical control
There are numerous fungicides on the market for controlling early blight. Some of the fungicides on the market are (azoxystrobin), pyraclostrobin, Bacillus subtilis, chlorothalonil, copper products, hydrogen dioxide (Hydroperoxyl), mancozeb, potassium bicarbonate, and ziram.[14] Specific spraying regiments are found on the label. Labels for these products should be read carefully before applying. Quinone outside inhibitor (QoIs) fungicides e.g. azoxystrobin are used due to their broad-spectrum activity. However, decreased fungicide sensitivity has been observed in A. solanidue to a F129L (Phenylalanine (F) changed to Leucine at position 129) amino acid substitution.[16]

","The spores and mycelia of the pathogen survive in infested plant debris and soil, in infected tubers and in overwintering host crops and weeds. Spores are produced when temperatures are between 41-86 F. (5-30 C.) with alternating periods of wetness and dryness. These spores are then spread through wind, splashing rain, and irrigation water. They gain entry via wounds caused by mechanical injury or insect feeding. Lesions begin to appear 2-3 days after the initial infection. Treatment of early blight includes prevention by planting potato varieties that are resistant to the disease; late maturing are more resistant than early maturing varieties. Avoid overhead irrigation and allow for sufficient aeration between plants to allow the foliage to dry as quickly as possible. Practice a 2-year crop rotation. That is, do not replant potatoes or other crops in this family for 2 years after a potato crop has been harvested. Keep the potato plants healthy and stress free by providing adequate nutrition and sufficient irrigation, especially later in the growing season after flowering when plants are most susceptible to the disease. Only dig the tubers up when they are completely mature to prevent from damaging them. Any damage done at harvest can additionally facilitate the disease."
Potato Healthy,,,,,
Potato Late Blight,"Late blight is caused by the water mould Phytophthora infestans. Though water moulds (or oomycetes) look similar to fungi, they are more closely related to algae. As a consequence late blight spores require water to germinate and penetrate host plant tissues. Early signs of late blight infection are small flecks on infected leaves and plant stems. These grow into larger lesions. Infected tissue is initially water soaked (grey-green), then necrotic (brown or black) with firm, rough surfaces (Figure 2). Lesions are often enclosed by a halo of lighter green tissue. In humid weather white mould (or “fuzz”) grows under the leaves and infected plants suddenly collapse. Infected potato tubers have brown to purple skin lesions that are dark, reddish brown underneath (Figure 3). They have an uneven, corky, dry rot inside and can become a foul-smelling mush if infected by secondary bacterial soft rots.","The Phytophthora infestans lifecycle alternates between mould growth and spore production. The asexual spore stage produces millions of thin-walled spores called sporangia. Each sporangia creates 20-40 thin-walled spores named zoospores. The sexual spore stage occurs inside plant material between the A1 and A2 mating types of sporangia and produces thick-walled spores called oospores. Sporangia and zoospores are short-lived spores in plant debris or soil. They are killed by frosts and hot weather. Sporangia inside potato tubers and oospores may live for many years. The late blight lifecycle is completed under ideal conditions in five days, if the air temperatures remain above 10°C and humidity is over 75% for two consecutive days.",,"Do not plant potato tubers from the previous year; purchase seed potatoes from a reputable source and inspect them before planting. Destroy volunteer potatoes that sprout from overwintered tubers. The late blight organism requires living tissue to survive; it does not survive in the soil or carried tomato seed. The most likely source of late blight is infected potato tubers that survived the winter, tubers that were saved, or tubers that remained in the soil unfrozen and grow from overwintered tubers as volunteer potato plants. These plants should be dug up, placed in a plastic bag and discarded in the trash or completely buried deep enough so plants decompose and will not resprout. Select resistant varieties were available. ‘Mountain Magic’, ‘Legend’, and ‘Plum Regal’ have excellent resistance to Late Blight. ‘Red Pearl’ and ‘Matt’s Wild Cherry’ are small fruited tomatoes with good resistance. Some heirloom tomato varieties have good tolerance to late blight. A few cultivars also have resistance to Early Blight (Alternaria solani, A. tomatophila) and should be considered. The development of triple (LB, EB, Septoria leaf spot) resistant varieties is underway at Cornell and other Universities. Select resistant varieties were available. ‘Mountain Magic’, ‘Legend’, and ‘Plum Regal’ have excellent resistance to Late Blight. ‘Red Pearl’ and ‘Matt’s Wild Cherry’ are small fruited tomatoes with good resistance. Some heirloom tomato varieties have good tolerance to late blight. A few cultivars also have resistance to Early Blight (Alternaria solani, A. tomatophila) and should be considered. The development of triple (LB, EB, Septoria leaf spot) resistant varieties is underway at Cornell and other Universities. Start with disease-free tomato transplants. Growing your own tomato transplants from seed or purchasing transplants that were started here in the Northeast from seed will ensure a healthy start to the season for you and local farms. Control solanaceous weeds such as hairy nightshade, jimson weed, golden henbane, and others. Plant potatoes and tomatoes where air circulation is good; stake tomatoes for more rapid dying of leaves after dew or rainfall. If symptoms are already appearing on plants, remove plants, place in a plastic bag, seal and discard in the trash or completely bury plants deep enough underground so plants decompose and will not re-sprout. Do not put the plants in a compost pile as spores will still spread from this debris.","To manage late blight with fungicides, treat before symptoms appear. Use a product that contains chlorothalonil listed as the active ingredient on the label. There are ready- to- use formulations available to home gardeners. Fungicides are only effective if used before the disease appears and should be reapplied every 5-7 days if wet weather persists. Chlorothalonil is a protectant fungicide, with no systemic movement in the plant, so thorough coverage is necessary. Copper based fungicides are another option for home gardeners, and are reasonably effective against some strains of the late blight fungus. For organic gardeners, copper based fungicides are the only allowed option. As with all pesticides, read the label carefully and follow instructions for personal protective clothing, rates, and interval between spraying and harvest. These fungicides will also reduce losses from early blight and Septoria leaf spot, which are widespread in gardens and on farms every year from July till frost. If late blight is widespread in the region and weather conditions are favorable for the disease, fungicides alone may not guarantee a healthy crop."
Raspberry Healthy,,,,,
Soybean Healthy,,,,,
Squash Powdery Mildew,"White deposits develop on the top sides of leaves that make them look like they have been dusted with flour. As this fungal disease advances, leaves become grayish-green and become dry to the touch. Eventually these leaves turn brown and fall off. Powdery mildew is most likely to infect older plants that are beginning to decline after producing a crop. Warm temperatures between 70 and 80F (21 to 27C) favor cucurbit powdery mildew, but rainy weather is not required to trigger an outbreak. Powdery mildew fungi clog up leaf pores and block light to photosynthetic cells, so the plants are weakened in their ability to use light as an energy source. New growth stops, old leaves fall off, and the plants struggle to stay alive. Pumpkins or winter squash produced by mildewed plants may lack flavor, and quickly lose quality in storage.",,,"Use resistant varieties when they are available. Thin plants to proper spacing so each leaf gets good exposure to sun and fresh air. Plant fast-growing varieties of summer squash to sidestep this disease. Starting in early summer, spray plants every 10 days with a mixture of one part milk (any kind) to four parts water.","If your plants do develop powdery mildew despite your best efforts, don’t worry. There are many environmentally friendly options for eliminating the disease, including: Baking Soda. Baking soda itself isn’t normally effective as a powdery mildew treatment, but when it’s combined with liquid soap and water, it can be a powerful weapon. It’s normally most beneficial if used as a preventative measure rather than a treatment. Combine one tablespoon baking soda and one-half teaspoon of liquid, non-detergent soap with one gallon of water, and spray the mixture liberally on the plants. Mouthwash. The mouthwash you may use on a daily basis for killing the germs in your mouth can also be effective at killing powdery mildew spores. Since its function is to kill germs, the powdery mildew spores can’t withstand it. Using three parts water to one part mouthwash has been found to be a good ratio, but new growth can be damaged since mouthwash is potent, so use with caution. Milk. Milk is making its way onto the scene as a viable means to control powdery mildew. Not all the science is known, but the compounds in milk may be able to act as an antiseptic and fungicide as well as potentially increase the plant’s overall immunity. It tends to be effective as a method of preventing powdery mildew on zucchini and other types of squash, as well as cucumbers. An effective mixture ratio is about one part milk to two or three parts water. Organic Fungicide Treatments. If you don’t want a do-it-yourself solution, there is a variety of commercial treatment options that are just as environmentally friendly and approved for organic gardening. By going this route, you also know exactly what types of pests the treatment will kill and which types of plants it’s most helpful for. Water. Since dry conditions coupled with high humidity are often the culprits behind powdery mildew growth, watering your plants overhead and getting the entire plant wet can help. However, it’s important to use this method somewhat sparingly as overwatering can cause other issues for your plants."
Strawberry Healthy,,,,,
Strawberry Leaf Scorch,"Leaf scorch symptoms are very similar to the early stages of common (Mycosphaerella) leaf spot, with irregular dark purple spots being scattered over the upper leaf surface. As the spots enlarge, they begin to look like drops of tar, and are actually the accumulations of black fruiting bodies (acervuli) of the fungus. The centers of the spots remain purple (in Mycosphaerella leaf spot they are white) and there is no well-defined lesion border. In heavy infections, these regions coalesce and the tissue between the lesions often takes on a purplish to bright red color that is dependent on cultivar, temperature, or other factors. The leaves eventually turn brown, dry up, and curl at the margins giving the leaf a scorched appearance. Examination of the acervuli and conidial morphology can help to distinguish between leaf spot and leaf scorch at this advanced stage of disease. On the upper leaf surfaces of leaf scorch lesions, the acervuli are dark with glistening spore masses and dark apothecia. Petiole lesions are elongate, sunken, with a purplish to brown color and can kill the leaf by girdling the petiole. Runners, fruit stalks, fruit and caps can also become infected. Plants may become weakened and the number and vigor of crowns reduced. Infection predisposes the plants to winter and drought stress. In severe infestations, flowers and fruit may die. Overall, there can be a serious reduction in yield in matted row systems. It has not been observed as a yield-reducing problem in annual production systems.","In annual production systems, the disease can come on transplants or tips and build up in the plug production phase in the early fall in the field. However, the pathogen does not cause damage the following spring. In the matted row system, the population can build up to damaging levels. Spores are produced in the spring and midsummer on lower leaf surfaces of dead leaves infected in the previous year, and are spread by wind and splashing rain. Disease increase is favored by leaf wetness during warm weather (68-86°F), and is likely to become more significant on older plantings of susceptible varieties. One ascospore generation (the starting sproes) and several overlapping generations of conidia (spores) are produced every year. Apothecia, a small mushroom-like structure, generally form on infected leaves in the fall and forcibly discharge ascospores, which are wind dispersed, in the springtime. Acervuli are found throughout the season in lesions or on residue of the foliage. Under dry conditions the acervuli can go into dormancy, but once moist conditions return, they again become active and exude conidia in a sticky mass. The conidia are disseminated to new infection sites where they directly penetrate and grow intercellularly.",,"In matted row or perennial strawberry systems, select a planting site with good air drainage and sun exposure. Cultivars resistant to leaf scorch may be available and need to be evaluated for specific horticultural characteristics. Plant new transplants frequently, and allow adequate spacing between them to increase airflow. Control weeds. Avoid amendment with supplemental nitrogen in spring, as this may enhance disease. Keep moisture levels down and avoid long wetness periods by monitoring irrigation schedules; if possible, use drip irrigation rather than overhead. Remove foliage and crop residues after picking or at renovation to remove inoculum and delay disease increase in late summer and fall. Fungicide treatments are effective during the flowering period, and during late summer and fall. In annual plasticulture production systems, the disease has not been observed to cause economic damage in fruiting fields and generally does not require action. Although symptoms may be on plants at the time of planting or soon after, the levels of disease are typically low and do not persist into the spring. In plug production facilities, high disease levels may affect the look of the plants and this decreased aesthetic value may impact sales. See our Strawberry IPM Guide at for current recommendations.","While leaf scorch on strawberry plants can be frustrating, there are some strategies which home gardeners may employ to help prevent its spread in the garden. The primary means of strawberry leaf scorch control should always be prevention. Since this fungal pathogen over winters on the fallen leaves of infect plants, proper garden sanitation is key. This includes the removal of infected garden debris from the strawberry patch, as well as the frequent establishment of new strawberry transplants. The creation of new plantings and strawberry patches is key to maintaining a consistent strawberry harvest, as older plants are more likely to show signs of severe infection."
Tomato Bacterial Spot,"Bacterial spot can affect all above ground parts of a tomato plant, including the leaves, stems, and fruit.  Bacterial spot appears on leaves as small (less than ⅛ inch), sometimes water-soaked (i.e., wet-looking) circular areas.  Spots may initially be yellow-green, but darken to brownish-red as they age.  When the disease is severe, extensive leaf yellowing and leaf loss can also occur.  On green fruit, spots are typically small, raised and blister-like, and may have a yellowish halo.  As fruit mature, the spots enlarge (reaching a maximum size of ¼ inch) and turn brown, scabby and rough.  Mature spots may be raised, or sunken with raised edges.  Bacterial spot symptoms can be easily confused with symptoms of another tomato disease called bacterial speck.  For more information on this disease, see University of Wisconsin Garden Facts XHT1250.",,,"Plant pathogen-free seed or transplants to prevent the introduction of bacterial spot pathogens on contaminated seed or seedlings.  If a clean seed source is not available or you suspect that your seed is contaminated, soak seeds in water at 122°F for 25 min. to kill the pathogens.  To keep leaves dry and to prevent the spread of the pathogens, avoid overhead watering (e.g., with a wand or sprinkler) of established plants and instead use a drip-tape or soaker-hose.  Also to prevent spread, DO NOT handle plants when they are wet (e.g., from dew) and routinely sterilize tools with either 10% bleach solution or (better) 70% alcohol (e.g., rubbing alcohol).  Where bacterial spot has been a recurring problem, consider using preventative applications of copper-based products registered for use on tomato, especially during warm, wet periods.  Keep in mind however, that if used excessively or for prolonged periods, copper may no longer control the disease.  Be sure to read and follow all label instructions of the product that you select to ensure that you use it in the safest and most effective manner possible.  Burn, bury or hot compost tomato debris at the end of the season.  Wait at least one year before planting tomatoes in a given location again, and remove and burn, bury or hot compost any volunteer tomatoes that come up in your garden.","A plant with bacterial spot cannot be cured.  Remove symptomatic plants from the field or greenhouse to prevent the spread of bacteria to healthy plants.  Burn, bury or hot compost the affected plants and DO NOT eat symptomatic fruit.  Although bacterial spot pathogens are not human pathogens, the fruit blemishes that they cause can provide entry points for human pathogens that could cause illness."
Tomato Early Blight,"Early blight is sometimes confused with Septoria leaf spot. They both form spots on the leaves, which eventually turn yellow and die off, but Septoria also forms fruiting bodies that look like tiny filaments coming from the spots. On Older Plants: Dark spots with concentric rings develop on older leaves first. The surrounding leaf area may turn yellow. Affected leaves may die prematurely, exposing the fruits to sun scald. Dark lesions on the stems start off small and slightly sunken. As they get larger, they elongate and you will start to see concentric markings like the spots on the leaves. Spots that form near ground level can cause some girdling of the stem or collar rot. Plants may survive, but they will not thrive or produce many tomatoes. On Tomato Fruits: If early blight gets on the fruits, spots will begin at the stem end, forming a dark, leathery, sunken area with concentric rings. Both green and ripe tomatoes can be affected. On Seedlings: Affected seedlings will have dark spots on their leaves and stems. They may even develop the disease on their cotyledon leaves. Stems often wind up girdled.","The lower leaves become infected via contaminated soil – either from direct contact or from rain splashing fungal spores onto the plant. Flea beetles sometimes transmit the pathogen as well as they travel from plant to plant. The fungal spores require free water, such as rain or heavy dew, or at least 90% humidity to germinate. They are not very fussy about temperature, and will germinate in a wide range of temperatures, from 47 to 90°F. After the spores have germinated, lesions can form on infected plants in as little as five days. When the spores are present in a garden or field, they can be spread by wind, equipment, insect pests, or human contact.",,"All of these varieties are somewhat resistant to early blight, but none is completely immune. Aunt Ginny's Purple - Heirloom, indeterminate, beefsteak (16 oz.) Big Rainbow - Heirloom, indeterminate, bi-color beefsteak (16 oz.) Black Plum - Heirloom, indeterminate, plum (2 in.) Juliet - Hybrid, indeterminate, cherry (1 ounce) Legend - Open-pollinated, determinate, beefsteak (14-16 ounces) Manyel - Heirloom, indeterminate, yellow globe (8-10 ounces) Matt’s Wild Cherry - Heirloom, indeterminate, cherry (1/2 inch) Mountain Supreme - Hybrid, determinate, globe (6-8 oz.) Mountain Fresh Plus - Hybrid, determinate, globe (12 ounces) Old Brooks - Heirloom, indeterminate, globe (6-8 ounces) Tigerella (aka Mr. Stripey) - Heirloom, indeterminate, globe (4-6 oz.) Tommy Toe - Heirloom, indeterminate, cherry (1 inch)","Tomatoes that have early blight require immediate attention before the disease takes over the plants. Thoroughly spray the plant (bottoms of leaves also) with Bonide Liquid Copper Fungicide concentrate or Bonide Tomato & Vegetable. Both of these treatments are organic. If possible time applications so that 12 hours of dry weather follows applications. A day after treatment, remove the lower branches with sharp razor blade knife. Clean your knife with rubbing alcohol before trimming the next plant to prevent the spread of the disease. Repeat fungicide treatments every 7 to 14 days. Read the label instructions carefully. Do not spray pesticides, fungicides, fertilizers or herbicides when it’s in the high 80’s or 90; you can damage your plants. Water your plants the day before spraying, hydration is important!"
Tomato Healthy,,,,,
Tomato Late Blight,"The first symptoms of late blight on tomato leaves are irregularly shaped, water-soaked lesions, often with a lighter halo or ring around them (Figure 1); these lesions are typically found on the younger, more succulent leaves in the top portion of the plant canopy. During high humidity, white cottony growth may be visible on underside of the leaf (Figure 2), where sporangia form (Figure 3 and Figure 5). Spots are visible on both sides of the leaves. As the disease progresses, lesions enlarge causing leaves to brown, shrivel and die. Late blight can also attack tomato fruit in all stages of development. Rotted fruit are typically firm with greasy spots that eventually become leathery and chocolate brown in color (Figure 4); these spots can enlarge to the point of encompassing the entire fruit. Look alike diseases: Other species of Phytophthora, specifically P. nicotianae and P. capsici, can also cause lesions on tomato and tomato fruit similar to those caused by late blight. However, these two species are soilborne (as opposed to ariborne) and typically only cause disease after the plants have been flooeded or if the plant had been in contact with wet soil. Late blight can be differentiated from early blight on tomato and other foliar fungal diseases by where they occur on the plant. Lesions caused by late blight can be found anywhere on the plant, but are mostly found on the new growth whereas early blight typically starts on the lower leaves and slowly moves up the plant. Also, lesions caused by late blight tend to be light brown or tan in color while lesions caused by early blight tend to be dark brown in color with concentric rings.",,,"The USA Blight web site tracks the occurance of late blight in real time. Check the site regularly during the growing season. When late blight is detected in your region, consider a weekly prevetative spray. Cornell plant pathologist Meg McGrath suggests using Actinovate (which contains the beneficial bacteria Streptomyces lydicus) as a preventative spray, and adding a copper-based product when late blight is present. Remember that while these sprays can help reduce the likelihood of infection, you still need to monitor plants closely.","If symptoms are observed, treat plants with one of the following fungicides: Apply a copper based fungicide (2 oz/ gallon of water) every 7 days or less, following heavy rain or when the amount of disease is increasing rapidly. If possible, time applications so that at least 12 hours of dry weather follows application. Used as a foliar spray, Organocide® Plant Doctor will work its way through the entire plant to prevent fungal problems from occurring and attack existing many problems. Mix 2 tsp/ gallon of water and spray at transplant or when direct seeded crops are at 2-4 true leaf, then at 1-2 week intervals as required to control disease. Safely treat fungal problems with SERENADE Garden. This broad spectrum bio-fungicide uses a patented strain of Bacillus subtilis and is approved for organic use. Best of all, SERENADE is completely non-toxic to honey bees and beneficial insects. Monterey® All Natural Disease Control is a ready-to-use blend of naturally occurring ingredients that control most plant foliar diseases. All stages of the disease is controlled, but applying before infestation gives the best results."
Tomato Leaf Mold,"Leaf mold of tomato is caused by pathogen Passalora fulva. It is found throughout the world, predominantly on tomatoes grown where the relative humidity is high, particularly in plastic greenhouses. Occasionally, if conditions are just right, leaf mold of tomato can be a problem on field grown fruit. Symptoms start as pale green to yellowish spots on upper leaf surfaces that turn a bright yellow. The spots merge as the disease progresses and the foliage then dies. Infected leaves curl, wither, and often drop from the plant. Flowers, stems, and fruit may be infected, although usually only leaf tissue is affected. When the disease does manifest on the fruit, tomatoes with leaf mold become dark in color, leathery, and rot at the stem end.",,,"High relative humidity (greater that 85%) combined with high temperatures encourages the spread of the disease. With that in mind, if growing tomatoes in a greenhouse, maintain night temps higher than outside temperatures. When planting, use only certified disease-free seed or treated seed. Remove and destroy all crop debris post-harvest. Sanitize the greenhouse between crop seasons. Use fans and avoid overhead watering to minimize leaf wetness. Also, stake and prune plants to increase ventilation. If the disease is detected, apply a fungicide according to the manufacturer’s instructions at the first sign of infection.","When treating tomato plants with fungicide, be sure to cover all areas of the plant that are above the soil, especially the underside of leaves, where the disease often forms. Calcium chloride-based sprays are recommended for treating leaf mold issues. Organic fungicide options are also available."
Tomato Septoria Leaf Spot,"Septoria leaf spot usually appears on the lower leaves after the first fruit sets. Spots are circular, about 1/16 to 1/4 inch in diameter with dark brown margins and tan to gray centers with small black fruiting structures. Characteristically, there are many spots per leaf. This disease spreads upwards from oldest to youngest growth. If leaf lesions are numerous, the leaves turn slightly yellow, then brown, and then wither. Fruit infection is rare.","The fungus overwinters on infected tomato debris or on weeds in the nightshade family, the same family to which tomatoes belong. The fungus can also survive on equipment such as plant stakes and cages. Long periods of high relative humidity, temperatures of 60–80 degrees F, and leaf wetness are ideal conditions for development and spread of the pathogen.",,"Use disease-free seed. There's no evidence that it is carried by seeds, but err on the safe side and don't save seed from infected plants. Thoroughly processing the tomato seeds you are saving will also help rid the seeds of lingering diseases.
Start with a clean garden. Dispose of all affected plants. The fungus can over-winter on the debris of diseased plants. It's important to dispose of all the affected plants far away from the garden and the compost pile. Keep in mind that it may have spread to your potatoes and eggplants, too.
Avoid overhead watering. Water aids the spread of Septoria leaf spot. Keep it off the leaves as much as possible by watering at the base of the plant only. Of course, it's impossible to keep the rain off your plants, but every little bit helps.
Provide room for air circulation. Leave some space between your tomato plants so there is good airflow. Stake them so that they are not touching the ground and not all bunched together. Good air circulation is especially important during damp and rainy periods.
Mulch below the plants. A layer of mulch will help prevent spores on the ground from splashing up onto the lower leaves.
Plant next year's tomatoes in a different section of your garden. In small gardens, it's not always practical to rotate your crops, so good clean up and sanitation become even more important.","Removing infected leaves. Remove infected leaves immediately, and be sure to wash your hands and pruners thoroughly before working with uninfected plants. Consider organic fungicide options. Fungicides containing either copper or potassium bicarbonate will help prevent the spreading of the disease. Begin spraying as soon as the first symptoms appear and follow the label directions for continued management. Consider chemical fungicides. While chemical options are not ideal, they may be the only option for controlling advanced infections. One of the least toxic and most effective is chlorothalonil (sold under the names Fungonil and Daconil)."
Tomato Spider Mites Two-Spotted Spider Mite,"The two-spotted spider mite is the most common mite species that attacks vegetable and fruit crops in New England. Spider mites can occur in tomato, eggplant, potato, vine crops such as melons, cucumbers, and other crops. Two-spotted spider mites are one of the most important pests of eggplant. They have up to 20 generations per year and are favored by excess nitrogen and dry and dusty conditions. Outbreaks are often caused by the use of broad-spectrum insecticides which interfere with the numerous natural enemies that help to manage mite populations. As with most pests, catching the problem early will mean easier control.","Eggs are laid singly, up to 100 per female, during her 3- to 4-week life span. Eggs hatch into larvae in as few as 3 days. Following a brief larval stage, several nymphal stages occur before adults appear. Egg to adult cycle can be completed in 7-14 days depending on temperature.",,"Watch for spider mites in greenhouses where vegetable transplants are growing. Also scout eggplants in the field. Checking for mites must be done by examining foliage. Adult mites are not found on sticky cards. Mites often develop as localized infestations on particular groups of plants such as beans or tomatoes. Sample plants by turning over leaves and with a hands-free magnifier (Optivisor) or hand lens, check for the presence of spider mites as well as symptoms or webbing. Adult females are approximately 1/50-inch long, slightly orange or pale green in color with two dark spots on their body. All mobile stages are able to pierce plant tissue with their mouth-parts and remove plant fluids. Saliva injected during feeding may also cause discoloration, necrosis or abnormalities on leaves, stems and fruits. Most spider mites are found on the underside of leaves. A 10X hand lens is key for identifying the mite species, but injury, webbing, and the tiny adults can be seen with the naked eye.","Preventative releases of the predatory mite, Phytoseiulus persimilis, may suppress TSSM populations in greenhousese and vegetable fields, as they do in strawberry fields. Amblyseius fallicis is a predatory mite that is widely used in greenhouses. See New England Vegetable Guide on biological control in greenhouse bedding plants, Table 25. Scouting guidelines and biological control options for bedding plants. For control, use selective products whenever possible. Selective products which have worked well in the field include:

bifenazate (Acramite): Group UN, a long residual nerve poison
abamectin (Agri-Mek): Group 6, derived from a soil bacterium
spirotetramat (Movento): Group 23, mainly affects immature stages
spiromesifen (Oberon 2SC): Group 23, mainly affects immature stages
OMRI-listed products include:

insecticidal soap (M-Pede)
neem oil (Trilogy)
soybean oil (Golden Pest Spray Oil)
With most miticides (excluding bifenazate), make 2 applications, approximately 5-7 days apart, to help control immature mites that were in the egg stage and protected during the first application. Alternate between products after 2 applications to help prevent or delay resistance. For current information on production methods (including varieties, spacing, seeding, and fertility), weed, disease, and insect management, please visit the New England Vegetable Management Guide.

"
Tomato Target Spot,"The disease starts on the older leaves and spreads upwards. The first signs are irregular-shaped spots (less than 1 mm) with a yellow margin (Photo 1). Some of the spots enlarge up to 10 mm and show characteristics rings, hence the name of ""target spot"" (larger spots Photos 1&2). Spread to all leaflets and to other leaves is rapid (Photo 3), causing the leaves to turn yellow, collapse and die (Photo 4). Spots also occur on the stems. They are long and thin. Small light brown spots with dark margins may also occur on the fruit.",,Look for the disease on the bottom leaves. Look for tiny brown spots with yellow margins. Look for larger spots up to 10 mm that have ring patterns. Spots may be present on the stems and on the fruit.,"Preventive treatment is a great way to manage the risk of early blight and target spot in your tomato yields. Miravis® Prime fungicide contains 2 chemistries, fludioxonil and Adepidyn® fungicide, to help treat tough diseases in fruiting vegetables. The 2 powerful active ingredients offer strong disease control that evenly distributes on leaf surfaces to protect against target spot, early blight and many other tomato and fruiting vegetable diseases.","Target spot tomato treatment requires a multi-pronged approach. The following tips for treating target spot on tomatoes should help: Remove old plant debris at the end of the growing season; otherwise, the spores will travel from debris to newly planted tomatoes in the following growing season, thus beginning the disease anew. Dispose of the debris properly and don’t place it on your compost pile unless you’re sure your compost gets hot enough to kill the spores. Rotate crops and don’t plant tomatoes in areas where other disease-prone plants have been located in the past year– primarily eggplant, peppers, potatoes or, of course– tomatoes. Rutgers University Extension recommends a three year rotation cycle to reduce soil-borne fungi. Pay careful attention to air circulation, as target spot of tomato thrives in humid conditions. Grow the plants in full sunlight. Be sure the plants aren’t crowded and that each tomato has plenty of air circulation. Cage or stake tomato plants to keep the plants above the soil. Water tomato plants in the morning so the leaves have time to dry. Water at the base of the plant or use a soaker hose or drip system to keep the leaves dry. Apply a mulch to keep the fruit from coming in direct contact with the soil. Limit mulch to 3 inches (8 cm.) or less if your plants are bothered by slugs or snails."
